target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,CHROME,MPLAYER,*,*,*,1600,55.875,3.2106998847603303,54.6875,54.0625,55.93749999999999,55.00000000000001,53.75,50.625,61.875,60.3125,54.0625,58.4375
codec,CHROME,MPV,*,*,*,1600,56.34375,2.577130490002397,55.93749999999999,54.6875,59.68750000000001,58.75,59.06249999999999,51.87500000000001,52.1875,57.49999999999999,56.875,56.875
codec,CHROME,VLC,*,*,*,1600,68.3125,3.033665274877898,67.8125,73.125,68.75,72.1875,62.81250000000001,67.1875,67.1875,69.375,64.375,70.3125
codec,EDGE,MPLAYER,*,*,*,1200,57.75,2.802528620133374,61.66666666666667,58.75,55.00000000000001,60.0,55.833333333333336,54.166666666666664,61.25000000000001,55.833333333333336,54.58333333333333,60.416666666666664
codec,EDGE,MPV,*,*,*,1200,63.95833333333333,1.9476659820867066,60.83333333333333,67.08333333333333,62.916666666666664,63.74999999999999,65.83333333333333,62.5,61.66666666666667,66.25,63.74999999999999,65.0
codec,EDGE,VLC,*,*,*,1200,76.20833333333333,2.7032002638847668,77.5,78.33333333333333,72.91666666666666,76.66666666666667,73.75,78.75,77.91666666666667,71.25,80.0,75.0
codec,FIREFOX,MPLAYER,*,*,*,1600,34.09375,2.207276673301288,34.0625,32.8125,29.375,35.9375,35.3125,33.4375,38.4375,33.75,33.4375,34.375
codec,FIREFOX,MPV,*,*,*,1600,33.3125,2.258663874949082,35.9375,33.4375,31.25,32.1875,36.5625,30.312499999999996,32.5,30.9375,36.875,33.125
codec,FIREFOX,VLC,*,*,*,1600,50.375,2.940822589004646,47.1875,50.31250000000001,47.1875,52.5,50.9375,47.8125,55.93749999999999,50.625,47.1875,54.0625
codec,SAFARI,MPLAYER,*,*,*,400,46.875,3.125,47.5,46.25,43.75,52.5,48.75,42.5,50.0,48.75,46.25,42.5
codec,SAFARI,MPV,*,*,*,400,52.375,5.740481251602517,55.00000000000001,43.75,53.75,62.5,57.49999999999999,48.75,56.25,43.75,53.75,48.75
codec,SAFARI,VLC,*,*,*,400,77.0,6.98659430624106,71.25,77.5,68.75,67.5,90.0,85.0,75.0,80.0,72.5,82.5
