target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,SAFARI,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,47.875,4.57745835590014,38.75,55.00000000000001,46.25,43.75,47.5,53.75,46.25,51.24999999999999,50.0,46.25
codec,SAFARI,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,75.5,4.264680527307995,75.0,66.25,73.75,81.25,71.25,77.5,73.75,80.0,77.5,78.75
codec,SAFARI,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,54.875,4.346334662678427,55.00000000000001,60.0,50.0,47.5,55.00000000000001,48.75,58.75,58.75,56.25,58.75
codec,FIREFOX,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,38.875,5.848343782644793,28.749999999999996,41.25,43.75,32.5,41.25,42.5,47.5,33.75,33.75,43.75
codec,FIREFOX,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,30.875,4.185167260695801,33.75,26.25,31.25,27.500000000000004,26.25,27.500000000000004,27.500000000000004,37.5,36.25,35.0
codec,FIREFOX,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,25.75,3.8810436740650056,23.75,23.75,17.5,31.25,26.25,26.25,25.0,31.25,28.749999999999996,23.75
codec,CHROME,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,57.625,4.00975373308636,60.0,65.0,53.75,60.0,52.5,62.5,57.49999999999999,52.5,56.25,56.25
codec,CHROME,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,71.125,5.13718064700863,68.75,77.5,67.5,71.25,68.75,80.0,66.25,75.0,62.5,73.75
codec,CHROME,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,50.75,4.301162633521313,50.0,50.0,50.0,46.25,56.25,47.5,50.0,52.5,60.0,45.0
codec,FIREFOX,MPLAYER,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,45.375,5.3341470733379674,43.75,43.75,47.5,38.75,38.75,52.5,46.25,56.25,41.25,45.0
codec,FIREFOX,VLC,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,88.625,2.981715110469141,90.0,92.5,85.0,91.25,85.0,86.25,92.5,86.25,86.25,91.25
codec,FIREFOX,MPV,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,51.375,4.162706451336679,55.00000000000001,55.00000000000001,52.5,47.5,52.5,53.75,56.25,45.0,43.75,52.5
codec,CHROME,MPLAYER,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,79.0,2.48746859276655,76.25,75.0,81.25,80.0,77.5,81.25,78.75,78.75,83.75,77.5
codec,CHROME,VLC,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,92.625,2.050152433357091,93.75,96.25,92.5,95.0,92.5,91.25,93.75,88.75,91.25,91.25
codec,CHROME,MPV,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,83.0,4.58257569495584,73.75,78.75,78.75,87.5,87.5,86.25,87.5,80.0,85.0,85.0
codec,EDGE,MPLAYER,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,76.875,4.0408074688111535,72.5,75.0,77.5,78.75,72.5,83.75,80.0,72.5,73.75,82.5
codec,EDGE,VLC,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,92.375,3.0847406698132667,95.0,90.0,92.5,93.75,93.75,96.25,93.75,93.75,90.0,85.0
codec,EDGE,MPV,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,400,68.5,4.930770730829007,66.25,72.5,72.5,66.25,71.25,76.25,66.25,57.49999999999999,66.25,70.0
codec,FIREFOX,MPLAYER,*,Windows-10-10.0.22621-SP0,*,400,46.75,2.9154759474226504,46.25,48.75,46.25,48.75,45.0,42.5,41.25,48.75,50.0,50.0
codec,FIREFOX,VLC,*,Windows-10-10.0.22621-SP0,*,400,61.625,4.874999999999998,55.00000000000001,63.74999999999999,55.00000000000001,57.49999999999999,61.25000000000001,61.25000000000001,71.25,60.0,66.25,65.0
codec,FIREFOX,MPV,*,Windows-10-10.0.22621-SP0,*,400,45.0,4.220485754033533,48.75,45.0,46.25,41.25,45.0,48.75,35.0,42.5,48.75,48.75
codec,CHROME,MPLAYER,*,Windows-10-10.0.22621-SP0,*,400,53.5,3.344772040064915,55.00000000000001,60.0,47.5,56.25,52.5,50.0,55.00000000000001,51.24999999999999,55.00000000000001,52.5
codec,CHROME,VLC,*,Windows-10-10.0.22621-SP0,*,400,67.125,3.1149839485942787,65.0,71.25,70.0,71.25,65.0,65.0,62.5,63.74999999999999,67.5,70.0
codec,CHROME,MPV,*,Windows-10-10.0.22621-SP0,*,400,69.875,4.2738302493196905,71.25,67.5,75.0,63.74999999999999,65.0,76.25,73.75,68.75,65.0,72.5
codec,EDGE,MPLAYER,*,Windows-10-10.0.22621-SP0,*,400,67.875,3.3095505737184325,63.74999999999999,65.0,68.75,65.0,72.5,67.5,72.5,65.0,66.25,72.5
