target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
player,SAFARI,*,*,macOS-13.0-arm64-arm-64bit,*,1200,99.25000000000001,0.5204164998665332,98.75,99.16666666666667,100.0,100.0,99.16666666666667,98.75,98.33333333333333,99.16666666666667,99.58333333333333,99.58333333333333
player,FIREFOX,*,*,macOS-13.0-arm64-arm-64bit,*,1200,89.79166666666666,1.8657177647698409,91.66666666666666,90.83333333333333,90.83333333333333,88.33333333333333,90.83333333333333,91.66666666666666,87.91666666666667,88.75,91.25,85.83333333333333
player,CHROME,*,*,macOS-13.0-arm64-arm-64bit,*,1200,99.33333333333334,0.5335936864527375,99.16666666666667,100.0,98.75,99.16666666666667,100.0,100.0,99.58333333333333,99.16666666666667,98.33333333333333,99.16666666666667
player,FIREFOX,*,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,1200,79.45833333333334,1.9812489046614554,77.5,80.83333333333333,75.83333333333333,82.08333333333333,78.75,77.91666666666667,79.58333333333333,78.75,81.25,82.08333333333333
player,CHROME,*,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,1200,80.79166666666666,2.3529679839159177,79.58333333333333,82.5,84.58333333333333,81.25,80.83333333333333,83.75,75.83333333333333,79.58333333333333,80.41666666666667,79.58333333333333
player,EDGE,*,*,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,1200,84.58333333333333,2.429563289518877,80.83333333333333,83.75,87.5,84.16666666666667,87.08333333333333,80.83333333333333,86.25,83.75,83.75,87.91666666666667
player,FIREFOX,*,*,Windows-10-10.0.22621-SP0,*,1200,87.58333333333334,1.4288690166235223,86.66666666666667,88.33333333333333,89.16666666666667,87.5,84.58333333333333,87.5,88.33333333333333,89.16666666666667,88.75,85.83333333333333
player,CHROME,*,*,Windows-10-10.0.22621-SP0,*,1200,72.625,2.9406749980989804,73.33333333333333,76.25,70.83333333333334,74.58333333333333,67.91666666666667,75.41666666666667,74.58333333333333,72.5,67.08333333333333,73.75
player,EDGE,*,*,Windows-10-10.0.22621-SP0,*,1200,70.54166666666667,3.01068698325002,69.16666666666667,64.58333333333334,70.83333333333334,66.66666666666666,72.5,70.0,75.0,70.41666666666667,73.75,72.5
player,FIREFOX,*,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,1200,79.70833333333334,2.745261068338189,81.66666666666667,81.25,83.33333333333334,80.0,78.33333333333333,82.91666666666667,77.08333333333334,77.5,80.83333333333333,74.16666666666667
player,CHROME,*,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,1200,95.875,1.1249999999999996,96.66666666666667,95.0,95.0,96.25,97.91666666666666,96.66666666666667,95.0,97.08333333333333,94.58333333333333,94.58333333333333
player,EDGE,*,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,1200,92.83333333333334,1.4883809249576452,95.0,93.75,91.66666666666666,94.58333333333333,90.41666666666667,92.5,92.5,92.08333333333333,94.58333333333333,91.25
