target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
player,*,*,sample.mkv,macOS-13.0-arm64-arm-64bit,*,900,86.44444444444444,1.7777777777777775,88.33333333333333,90.0,84.44444444444444,86.66666666666667,85.55555555555556,85.0,87.77777777777777,87.22222222222223,84.44444444444444,85.0
player,*,*,sample.mp4,macOS-13.0-arm64-arm-64bit,*,900,88.00000000000001,3.193357302933315,85.0,84.44444444444444,89.44444444444444,90.0,92.77777777777779,83.33333333333334,90.55555555555556,91.11111111111111,84.44444444444444,88.88888888888889
player,*,*,sample.flv,macOS-13.0-arm64-arm-64bit,*,900,86.94444444444446,2.373334373699312,90.0,84.44444444444444,83.33333333333334,90.0,84.44444444444444,87.77777777777777,86.66666666666667,85.0,88.88888888888889,88.88888888888889
player,*,*,sample.3gp,macOS-13.0-arm64-arm-64bit,*,900,86.72222222222221,2.771659929614761,87.22222222222223,90.55555555555556,83.33333333333334,84.44444444444444,85.0,83.88888888888889,85.55555555555556,92.22222222222223,86.66666666666667,88.33333333333333
player,*,*,sample.mkv,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,900,82.33333333333334,1.8559214542766753,81.11111111111111,81.66666666666667,82.77777777777777,81.11111111111111,83.33333333333334,78.33333333333333,83.88888888888889,85.55555555555556,83.33333333333334,82.22222222222221
player,*,*,sample.mp4,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,900,93.88888888888889,1.8087578440110779,92.77777777777779,94.44444444444444,94.44444444444444,95.55555555555556,95.55555555555556,93.88888888888889,92.77777777777779,96.66666666666667,90.0,92.77777777777779
player,*,*,sample.flv,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,900,80.5,2.283191398670502,81.66666666666667,81.11111111111111,81.66666666666667,80.55555555555556,78.33333333333333,82.22222222222221,80.0,75.55555555555556,79.44444444444444,84.44444444444444
player,*,*,sample.3gp,dedicated_gpu_Linux-5.19.0-35-generic-x86_64-with-glibc2.35,*,900,90.22222222222223,2.60815435429011,88.88888888888889,91.66666666666666,86.11111111111111,91.66666666666666,87.22222222222223,92.77777777777779,86.66666666666667,91.11111111111111,92.77777777777779,93.33333333333333
player,*,*,sample.mkv,Windows-10-10.0.22621-SP0,*,900,84.72222222222221,1.3888888888888915,85.0,86.11111111111111,85.0,86.66666666666667,82.22222222222221,83.33333333333334,85.55555555555556,85.55555555555556,82.77777777777777,85.0
player,*,*,sample.mp4,Windows-10-10.0.22621-SP0,*,900,81.11111111111111,2.2360679774997885,79.44444444444444,82.22222222222221,80.0,82.77777777777777,80.55555555555556,83.33333333333334,78.33333333333333,77.22222222222223,84.44444444444444,82.77777777777777
player,*,*,sample.flv,Windows-10-10.0.22621-SP0,*,900,82.44444444444444,2.7799991118215117,80.0,80.0,82.77777777777777,85.0,83.33333333333334,82.22222222222221,76.66666666666667,82.77777777777777,86.66666666666667,85.0
player,*,*,sample.3gp,Windows-10-10.0.22621-SP0,*,900,75.94444444444444,3.693922268862065,76.11111111111111,70.55555555555556,77.22222222222223,81.11111111111111,81.66666666666667,70.55555555555556,73.88888888888889,73.88888888888889,75.55555555555556,78.88888888888889
player,*,*,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,900,90.94444444444444,1.6301556390134702,88.88888888888889,92.22222222222223,93.33333333333333,91.11111111111111,92.77777777777779,89.44444444444444,90.0,88.88888888888889,90.0,92.77777777777779
player,*,*,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,900,84.83333333333333,2.756025945513879,84.44444444444444,89.44444444444444,87.77777777777777,84.44444444444444,83.88888888888889,86.11111111111111,81.11111111111111,81.11111111111111,87.77777777777777,82.22222222222221
player,*,*,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,900,88.38888888888889,3.0169275516412126,91.11111111111111,89.44444444444444,90.55555555555556,87.77777777777777,87.22222222222223,88.33333333333333,91.66666666666666,90.0,80.55555555555556,87.22222222222223
player,*,*,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,900,87.27777777777777,2.452637783849347,89.44444444444444,86.66666666666667,88.33333333333333,82.77777777777777,91.11111111111111,85.55555555555556,87.77777777777777,84.44444444444444,90.0,86.66666666666667
