target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,CHROME,MPLAYER,*,Windows-10-10.0.22621-SP0,*,400,55.75,5.6236109396009955,56.25,55.00000000000001,58.75,46.25,58.75,45.0,63.74999999999999,58.75,55.00000000000001,60.0
codec,CHROME,MPV,*,Windows-10-10.0.22621-SP0,*,400,67.5,6.224949798994365,70.0,72.5,70.0,63.74999999999999,55.00000000000001,58.75,67.5,76.25,68.75,72.5
codec,CHROME,VLC,*,Windows-10-10.0.22621-SP0,*,400,66.625,4.0716243687255815,60.0,68.75,66.25,70.0,61.25000000000001,62.5,68.75,68.75,66.25,73.75
codec,EDGE,MPLAYER,*,Windows-10-10.0.22621-SP0,*,400,68.875,3.2331292890943892,70.0,70.0,70.0,71.25,65.0,61.25000000000001,70.0,67.5,71.25,72.5
codec,EDGE,MPV,*,Windows-10-10.0.22621-SP0,*,400,89.75,2.0766559657295187,91.25,90.0,92.5,92.5,90.0,86.25,88.75,87.5,87.5,91.25
codec,EDGE,VLC,*,Windows-10-10.0.22621-SP0,*,400,73.5,4.670385423067351,72.5,68.75,72.5,73.75,72.5,81.25,66.25,81.25,70.0,76.25
codec,FIREFOX,MPLAYER,*,Windows-10-10.0.22621-SP0,*,400,49.25,6.077622890571608,41.25,57.49999999999999,56.25,42.5,51.24999999999999,55.00000000000001,40.0,52.5,46.25,50.0
codec,FIREFOX,MPV,*,Windows-10-10.0.22621-SP0,*,400,45.25,7.369701486491839,38.75,50.0,43.75,41.25,48.75,32.5,41.25,61.25000000000001,46.25,48.75
codec,FIREFOX,VLC,*,Windows-10-10.0.22621-SP0,*,400,61.125,5.345851195085775,57.49999999999999,60.0,67.5,65.0,60.0,52.5,53.75,60.0,68.75,66.25
codec,CHROME,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,54.125,4.938686566284602,52.5,56.25,55.00000000000001,62.5,43.75,53.75,58.75,50.0,51.24999999999999,57.49999999999999
codec,CHROME,MPV,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,50.5,5.099019513592785,48.75,51.24999999999999,55.00000000000001,40.0,51.24999999999999,58.75,56.25,48.75,48.75,46.25
codec,CHROME,VLC,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,71.375,5.045109017652642,77.5,65.0,75.0,70.0,80.0,72.5,66.25,63.74999999999999,71.25,72.5
codec,EDGE,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,48.375,5.837647214417809,46.25,50.0,48.75,52.5,36.25,41.25,51.24999999999999,55.00000000000001,46.25,56.25
codec,EDGE,MPV,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,46.375,3.642200571083366,51.24999999999999,48.75,42.5,43.75,47.5,45.0,47.5,48.75,38.75,50.0
codec,EDGE,VLC,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,70.125,4.625000000000001,70.0,66.25,68.75,76.25,72.5,67.5,63.74999999999999,67.5,80.0,68.75
codec,FIREFOX,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,32.0,4.227883631321942,36.25,41.25,28.749999999999996,30.0,27.500000000000004,31.25,31.25,28.749999999999996,36.25,28.749999999999996
