target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,GPU,MPLAYER,*,Windows-10-10.0.19045-SP0,*,400,60.875,5.5070976929776725,57.49999999999999,62.5,68.75,67.5,57.49999999999999,66.25,65.0,52.5,56.25,55.00000000000001
codec,GPU,MPV,*,Windows-10-10.0.19045-SP0,*,400,55.125,2.5890393971509953,53.75,55.00000000000001,50.0,57.49999999999999,58.75,55.00000000000001,53.75,57.49999999999999,52.5,57.49999999999999
codec,GPU,VLC,*,Windows-10-10.0.19045-SP0,*,400,44.125,5.1856171281728844,46.25,48.75,43.75,33.75,51.24999999999999,43.75,36.25,45.0,48.75,43.75
player,GPU,*,sample.3gp,Windows-10-10.0.19045-SP0,*,300,81.16666666666667,3.253203549323857,80.0,83.33333333333334,81.66666666666667,78.33333333333333,86.66666666666667,83.33333333333334,76.66666666666667,76.66666666666667,85.0,80.0
player,GPU,*,sample.flv,Windows-10-10.0.19045-SP0,*,300,90.66666666666666,3.431876713662331,91.66666666666666,93.33333333333333,93.33333333333333,86.66666666666667,86.66666666666667,93.33333333333333,88.33333333333333,93.33333333333333,95.0,85.0
player,GPU,*,sample.mkv,Windows-10-10.0.19045-SP0,*,300,75.66666666666667,3.5118845842842448,75.0,71.66666666666667,78.33333333333333,75.0,78.33333333333333,76.66666666666667,81.66666666666667,71.66666666666667,70.0,78.33333333333333
player,GPU,*,sample.mp4,Windows-10-10.0.19045-SP0,*,300,81.0,6.6332495807108005,83.33333333333334,78.33333333333333,83.33333333333334,70.0,83.33333333333334,80.0,85.0,93.33333333333333,70.0,83.33333333333334
